emotion,feature_id,coverage,cohen_d_all,cohen_d_implicit,coverage_angry,cohen_d_angry,coverage_furious,cohen_d_furious,coverage_annoyed,cohen_d_annoyed,discovery_auc,discovery_implicit_auc,discovery_angry_auc,discovery_furious_auc,discovery_annoyed_auc,heldout_auc,heldout_implicit_auc,heldout_angry_auc,heldout_furious_auc,heldout_annoyed_auc,natural_scale,rank_score
anger,5307,0.8334452652787105,1.1461819410324097,1.112107515335083,0.836,1.1683608293533325,0.8757637474541752,1.2869216203689575,0.7891566265060241,0.9979144334793091,0.7966584066554645,0.7894538548085757,0.8019367509986685,0.8243774085333608,0.7640294867886995,0.8022599808438664,0.7990528889841091,0.7879482452206554,0.8186423505572442,0.8001893467536998,10.8125,0.843695327454246
anger,662,0.7575554063129617,1.1138484477996826,0.7822859287261963,0.786,1.2314822673797607,0.7759674134419552,1.2801220417022705,0.7108433734939759,0.8780871033668518,0.7769919936614624,0.7148748553464747,0.8006451398135819,0.7962716378162449,0.7342352098139563,0.7714108547732546,0.6979883125614107,0.7889531117644127,0.8045908283090006,0.7206886242463502,33.25,0.7925740547126209
anger,10325,0.7790463398253862,0.8581034541130066,0.8601057529449463,0.772,0.872979998588562,0.7922606924643585,0.8940469026565552,0.7730923694779116,0.8086404204368591,0.7244573834394974,0.7249432568232309,0.7263202396804261,0.7333528140347833,0.7138166514259434,0.7429036490773497,0.7526097267267046,0.7380620193665188,0.7531433222050591,0.7375056056604714,10.75,0.7862623897698932
anger,1353,0.7421087978509067,0.8987550139427185,0.9205179810523987,0.688,0.7259856462478638,0.6924643584521385,0.6822333931922913,0.8453815261044176,1.3192113637924194,0.738536887016103,0.7425694824357073,0.6959933422103861,0.6931064080208059,0.8260431873967239,0.75621605461159,0.7595431408328963,0.7463334828176126,0.6812413838922383,0.841073297124919,11.4375,0.7669600967224162
anger,12077,0.7971793149764943,0.7822009921073914,0.707711398601532,0.818,0.8283689022064209,0.824847250509165,0.8784977793693542,0.748995983935743,0.6458579897880554,0.7096944392030684,0.690503961986946,0.7208388814913448,0.7338185881146929,0.674720185669442,0.728890882012612,0.7078029536270215,0.7193515704154001,0.7276811666417525,0.7396399089806833,10.3125,0.7456896295897488
anger,3336,0.615849563465413,0.7545670866966248,0.739288866519928,0.63,0.8160468935966492,0.6517311608961304,0.8316150307655334,0.5662650602409639,0.6163512468338013,0.6942900846777833,0.6914928817276076,0.706496671105193,0.7142892979082879,0.6623163760234011,0.7176795610698644,0.7026943165951285,0.7439417343498264,0.7633331672396898,0.6457637816200774,10.0625,0.7317453844911794
anger,10888,0.6453995970449966,0.6597635746002197,0.7024268507957458,0.646,0.6855391263961792,0.6985743380855397,0.7568352222442627,0.5923694779116466,0.5417412519454956,0.6863595349473591,0.6968130921619293,0.6894766977363513,0.714976772314443,0.6550148663896598,0.6884055563860239,0.6868918948869305,0.7171425249555702,0.7324397495307855,0.615634394671716,17.5,0.7236508198843957
anger,14902,0.6279382135661518,0.6718885898590088,0.6679064631462097,0.61,0.6123859882354736,0.7189409368635438,0.8703349828720093,0.5562248995983936,0.5472648739814758,0.6847228097034712,0.6830430514123574,0.6704933422103863,0.7362701733737231,0.6481866213188305,0.6979863913941348,0.6984315782474753,0.6979753184845616,0.7680502267178235,0.6279336289800189,10.5,0.7166589022891776
anger,1497,0.664204163868368,0.6075758337974548,0.6489045023918152,0.616,0.5470700860023499,0.6578411405295316,0.593824565410614,0.7188755020080321,0.6872252225875854,0.6670150567097015,0.6780970190764882,0.6475392809587217,0.6622304001995981,0.6912864507296831,0.6661766904180577,0.6816428903877836,0.6688175793512382,0.6376584118125799,0.6920540800903551,10.5625,0.7142407866296918
anger,2189,0.5359301544660846,0.5136392116546631,0.5371207594871521,0.52,0.5152723789215088,0.5458248472505092,0.5196004509925842,0.5421686746987951,0.5063619017601013,0.6419913363780014,0.6480526682195773,0.6369860186418108,0.6455472811539806,0.6435107941753699,0.683115473837483,0.6813289105268212,0.7194678359659177,0.7056239307721693,0.6242546547743617,11.8125,0.701185152279611
anger,714,0.4022834116856951,0.6931295394897461,0.6350147128105164,0.416,0.7224045991897583,0.41140529531568226,0.720163106918335,0.3795180722891566,0.6363385915756226,0.6500144423508749,0.6353286057865999,0.6577010652463382,0.6556709180698648,0.6367199824597993,0.6858837012307539,0.6580279109626992,0.7053332668958759,0.690542627933629,0.6617752088627569,7.875,0.7003300500216874
anger,4233,0.5943586299529886,0.492367148399353,0.531520426273346,0.59,0.4792991876602173,0.6109979633401222,0.47720301151275635,0.5823293172690763,0.5206028819084167,0.6387158737979984,0.6486203867137815,0.6344440745672436,0.6412414133497496,0.6405147888491384,0.6437125251216635,0.6661175097333757,0.6409387612736059,0.6595163353098477,0.630682478781537,10.875,0.6983156619470434
anger,13780,0.503693754197448,0.633009672164917,0.5665345788002014,0.514,0.6566824316978455,0.45010183299389,0.5097522735595703,0.5461847389558233,0.7297632098197937,0.6579165992243161,0.6409518861443427,0.6641770972037284,0.6272403936638453,0.681875972598784,0.6992736171320058,0.6639011813030533,0.6995033800056472,0.6980002325311011,0.7003172388592688,9.0,0.693032053586277
anger,2890,0.39959704499664206,0.6433743834495544,0.5920557379722595,0.398,0.6461329460144043,0.439918533604888,0.7213910818099976,0.3614457831325301,0.5655139684677124,0.6415873529719496,0.6289374718291202,0.6410585885486019,0.6623158260133806,0.621681131984663,0.686415200890262,0.6686367363825088,0.6717657415250718,0.7490491138904115,0.6384307472553026,8.625,0.685839867281858
anger,11715,0.43720617864338485,0.6366944313049316,0.5671030282974243,0.458,0.6874780654907227,0.46435845213849286,0.7068709135055542,0.3895582329317269,0.5127511620521545,0.6470352044598695,0.6319741923200877,0.6583934753661784,0.6634189037834144,0.6194779116465863,0.6941025683613755,0.6759653957254412,0.7155978540701248,0.7299815636055609,0.6367282874084409,8.625,0.6841814320925732
anger,10343,0.42175957018132976,0.5521500110626221,0.5491214990615845,0.39,0.494634747505188,0.48268839103869654,0.6669678092002869,0.39357429718875503,0.49482250213623047,0.6337732810248972,0.6329611049751637,0.6162876165113182,0.6663491447926865,0.6192111989903689,0.6633364891125616,0.6605693008961355,0.6684936967462255,0.7223744747288521,0.5991412958626073,8.875,0.679664944613808
anger,12919,0.4674278038952317,0.5143499970436096,0.5310806632041931,0.456,0.4809429943561554,0.505091649694501,0.584393322467804,0.44176706827309237,0.4796163737773895,0.6262377720684039,0.6306056466772411,0.6194081225033289,0.64486387464372,0.6147305600564709,0.6599647881475575,0.6682341033843335,0.6675469629777269,0.6768066836082184,0.6355407178567276,9.15625,0.6773543372633113
anger,1978,0.40899932840832776,0.5512239933013916,0.4787594974040985,0.428,0.5806159973144531,0.4175152749490835,0.5819657444953918,0.3815261044176707,0.48982521891593933,0.6318126089324376,0.6121585230602664,0.640875499334221,0.6374996271095431,0.6171062412098461,0.6523660039530287,0.6383579961435886,0.6711428903615859,0.6627219426312555,0.623233178866245,8.6875,0.6753397839535101
anger,13289,0.49966420416386836,0.5180483460426331,0.5435541868209839,0.47,0.44617703557014465,0.4745417515274949,0.43303340673446655,0.5542168674698795,0.669461190700531,0.6254597630739046,0.6329459084700159,0.6065206391478029,0.6068439636492822,0.6628290792998893,0.6833673825302704,0.6950147385840615,0.6542096433969471,0.7026259405052568,0.6932665636886075,8.5,0.6690666154551933
anger,14961,0.5634654130288784,0.41532912850379944,0.45026540756225586,0.548,0.4030579924583435,0.5560081466395111,0.38492363691329956,0.5863453815261044,0.45719900727272034,0.6141882459831933,0.6237356794443472,0.610122503328895,0.6065917541038289,0.6257600308023038,0.6256110861970646,0.6320562356400388,0.6166226518511138,0.6330243991562444,0.6271862075838358,8.8125,0.6680105787021483
